% ARFF file Created by Marsyas (ArffFileSink)
@relation mfcc.arff
@attribute MFCC0_Power_powerFFT_AudioCh0 real
@attribute MFCC1_Power_powerFFT_AudioCh0 real
@attribute MFCC2_Power_powerFFT_AudioCh0 real
@attribute MFCC3_Power_powerFFT_AudioCh0 real
@attribute MFCC4_Power_powerFFT_AudioCh0 real
@attribute MFCC5_Power_powerFFT_AudioCh0 real
@attribute MFCC6_Power_powerFFT_AudioCh0 real
@attribute MFCC7_Power_powerFFT_AudioCh0 real
@attribute MFCC8_Power_powerFFT_AudioCh0 real
@attribute MFCC9_Power_powerFFT_AudioCh0 real
@attribute MFCC10_Power_powerFFT_AudioCh0 real
@attribute MFCC11_Power_powerFFT_AudioCh0 real
@attribute MFCC12_Power_powerFFT_AudioCh0 real

@data
-50.758096,6.312086,0.613153,0.720493,0.846225,1.664148,1.397845,0.950492,-0.030748,-0.767234,-0.922080,-0.487359,-0.177611
-46.709619,5.584197,0.778004,0.954217,0.572831,0.979578,0.925960,0.706685,0.100460,-0.303552,-0.548351,-0.463004,-0.169497
-51.891082,7.974252,0.489590,0.686662,-0.022462,0.258978,1.162050,0.608535,0.157515,-0.538019,-0.758289,-0.145477,0.039790
-43.111721,5.888190,2.237304,1.840059,0.420877,-0.246927,0.094214,0.938387,-0.301277,-0.073314,-0.059042,-0.260677,0.346391
-43.207993,6.333967,1.901938,1.186601,0.289584,0.063636,-0.170726,0.580661,-0.178714,-0.261596,-0.260974,0.011671,0.077010
-44.631510,6.783763,1.584679,1.430910,1.196136,1.087420,0.262013,0.408554,-0.859521,-0.739180,-0.629323,0.143344,0.254704
-44.585512,7.181683,1.613837,1.173180,0.695466,0.755489,-0.336431,-0.027495,-0.047502,-0.274551,-0.171650,-0.142874,-0.204073
-44.397549,6.607321,0.849486,0.717798,0.433968,0.339564,-0.263061,0.116255,-0.474905,-0.938321,-0.110924,-0.109768,0.240550
-38.625101,4.790608,0.463799,1.346728,0.378078,0.397230,0.457618,0.459155,-0.491480,-0.248229,-0.026781,0.030025,0.044218
-41.382598,5.422756,1.897455,1.839125,0.903939,0.054224,-0.244664,0.913177,-0.009413,0.279097,0.145001,0.573745,-0.063554
-38.403666,5.443329,0.554682,0.943069,0.297776,0.359493,-0.394062,0.366268,0.202926,-0.043145,-0.207077,0.531018,0.283672
-42.091398,5.526695,1.369708,2.668685,1.391918,0.289405,0.414351,1.114016,0.058524,0.359963,-0.418476,-0.477909,-0.227395
-41.514562,5.299951,1.553614,2.641308,0.824585,0.397704,0.841115,1.148244,-0.371405,0.200781,-0.222202,-0.637004,-0.720481
-41.846409,6.038346,0.714924,1.468319,1.285703,0.663638,0.594571,1.304663,-0.263912,-0.073249,-0.823734,-0.114438,0.401957
-41.421844,6.051822,0.916793,1.702394,0.922158,0.955069,-0.239380,0.718343,0.594413,-0.066110,-0.069521,0.281824,0.183502
-41.139396,5.512925,1.161411,1.745648,0.230041,0.295498,0.700394,0.934338,-0.300132,-0.153240,0.081913,0.025204,-0.113651
-43.625064,5.752900,1.935796,2.928471,0.683088,0.313480,0.311438,1.013955,-0.036747,0.235867,-0.076006,-0.575426,-0.407585
-42.085786,6.038185,1.220699,1.555239,1.114804,0.989164,0.042276,0.467690,0.181219,0.004616,-0.491644,-0.531232,-0.427627
-42.365450,5.874407,0.566035,1.578057,0.126504,0.411064,0.916632,1.091476,0.149042,-0.641215,-0.081184,-0.066910,-0.050794
-42.379801,5.858036,1.499870,2.459436,-0.146735,-0.479579,0.225563,1.185504,0.259722,-0.235126,0.408744,0.397813,0.261451
-43.933795,7.515127,0.022100,1.481666,0.242563,0.251244,-0.259929,1.363058,0.208916,0.057399,-0.107571,-0.075702,0.415438
-44.914647,7.200693,0.949015,2.799720,0.303170,0.044439,0.426268,1.904671,-0.346541,0.135068,0.109686,-0.639780,-0.817168
-45.251728,7.345860,0.804733,2.101818,0.441513,0.329818,-0.017841,2.166093,-0.031923,-0.336615,-0.859750,-0.638837,-0.235141
-42.862962,6.214867,0.437481,0.914655,0.158384,0.136032,-0.165310,0.789314,0.316126,0.076397,-0.020908,0.430185,0.706898
-42.379819,6.030077,1.100014,0.823896,0.577794,0.208408,-0.999471,-0.156955,0.644222,0.127509,-0.068686,0.554330,0.458944
-44.748371,6.250485,0.924134,1.841840,0.257490,0.366727,0.605446,1.734990,-0.141893,-0.654042,-0.225879,-0.123237,-0.110520
-43.577645,5.512941,1.131725,1.773653,0.605070,-0.324556,0.379256,0.848000,0.036265,0.130825,-0.150088,-0.189069,-0.508002
-45.260735,6.582449,1.569205,2.264213,0.736337,0.649522,-0.021069,1.161636,0.283746,-0.515201,-0.616982,-0.158496,-0.475822
-45.567257,7.223871,0.754815,1.960428,0.197816,-0.104631,0.072953,1.423823,0.043394,-0.042342,0.044259,-0.071968,-0.201415
-45.357265,6.556764,1.861716,2.163031,0.009424,-0.679551,0.375656,1.553394,-0.185115,0.123113,0.362440,0.368132,-0.548383
-44.641679,6.491611,0.876132,1.568223,-0.023709,-0.031976,0.790980,1.206455,-0.360032,-0.414654,0.083184,-0.060447,-0.208400
-44.224034,5.976945,0.738034,1.493370,0.622338,0.503544,0.696372,1.094932,0.301437,-0.664408,-0.604144,-0.415363,0.166033
-46.020081,5.972686,1.433990,1.914490,0.214223,0.210770,1.033456,1.454134,-0.340567,-1.117658,-0.603146,-0.599538,-1.156042
-46.503372,7.036838,0.889584,2.015872,0.022155,-0.236832,0.368662,0.958288,-0.123729,0.047744,0.285949,0.018461,-0.568634
-44.800722,6.831758,0.526999,0.805718,0.650501,-0.028994,-0.674724,-0.048972,0.259437,-0.053335,-0.350297,0.217002,-0.125455
-47.184851,7.928495,-0.069667,1.892419,0.441802,0.322486,0.184217,1.413168,0.240179,-0.776520,-0.115586,-0.076723,-0.490558
-47.578024,7.942023,0.466410,2.523593,0.617087,-0.229674,0.446605,1.512512,0.635537,-1.124816,-0.702204,-0.291956,-0.305749
-43.465027,6.028311,0.933747,0.844314,0.802355,0.393388,-0.452945,0.241899,0.678416,0.367129,0.165736,0.781213,0.340710
